F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F28.1,F29,Target
82.6,86.5,78.6,133.6,52.9,26.8,15380.888,685.778,51.819,340.0,54.21,74.76636,97.4706,12.5,58.29999924,71.9,86.4,76.8,12.8,3.0,47.1,4.0,9.2,96.0,49.7,83.0,95.0,80.0,51.0,49.0,227.0
25.0,25.4,24.5,47.1,21.1,13.8,74798.599,1255.194,32.669,4520.0,72.974,85.01876698,95.50092000000001,7.2,55.59999847,23.1,67.7,57.5,11.75,3.05,28.5,5.2,6.6,87.0,98.7,96.0,97.0,92.0,100.0,100.0,61.1
21.7,24.6,18.6,36.1,17.3,11.9,88791.996,1457.775,31.538,1260.0,75.181,93.17772,98.13881,5.1,39.7,17.0,50.4,19.4,11.7,1.8,22.7,4.1,6.6,99.0,45.1,95.0,99.0,93.0,76.0,94.0,49.9
9.3,9.6,9.0,27.4,8.0,5.3,4259.405,64.673,0.642,9110.0,72.64,89.61243888,93.23872,11.5,51.5,14.8,35.2,14.6,11.75,3.05,28.5,5.2,16.7,87.0,70.7,100.0,100.0,100.0,85.0,100.0,33.1
3.2,3.4,2.9,7.0,2.3,1.5,515.941,5.949,0.019,78130.0,79.963,89.84058250999999,96.80517,7.5,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,68.25,100.0,100.0,100.0,100.0,100.0,8.4
61.6,65.2,58.0,98.3,42.8,23.0,21315.135,746.843,44.662,430.0,66.718,64.48090564,95.50092000000001,15.6,72.4,50.7,85.7,60.5,36.0,3.05,50.1,15.0,6.6,91.0,52.6,46.0,74.0,34.0,15.0,21.0,161.2
5.1,5.5,4.6,7.8,4.4,3.0,62417.431,761.07,4.091,37780.0,80.17,89.84058250999999,99.80582,7.6,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,68.25,100.0,100.0,100.0,100.0,100.0,9.2
17.5,19.3,15.4,40.4,15.6,11.1,3100.236,47.148,0.782,3360.0,74.241,99.55152,95.50092000000001,7.4,35.7,34.6,48.4,22.8,4.7,1.2,19.3,4.0,16.8,87.0,97.0,98.0,99.0,97.0,90.0,95.0,47.2
46.0,48.0,43.9,96.5,36.7,26.4,150493.658,3016.199,133.62,770.0,68.944,56.77985,95.50092000000001,21.6,35.6,63.5,71.1,89.6,36.4,10.4,41.3,15.6,1.5,94.0,84.3,81.0,85.0,80.0,56.0,57.0,138.8
4.3,4.6,4.0,9.6,3.5,2.1,7562.194,156.041,0.674,28930.0,81.618,89.84058250999999,96.9677,8.2,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,68.25,100.0,100.0,100.0,100.0,100.0,11.5
29.8,31.6,28.0,53.5,25.6,16.6,35980.193,712.254,21.081,4470.0,73.131,72.64867917,97.28475,5.8,49.5,6.9,39.0,22.2,3.181549914,0.9,14.9,3.8,12.9,87.0,60.7,83.0,85.0,79.0,95.0,98.0,65.6
62.4,68.8,55.6,76.7,47.9,29.9,48336.763,824.086,52.571,4730.0,65.193,92.29494,95.50092000000001,8.6,75.8,23.6,80.9,65.4,22.6,5.6,35.1,7.9,2.6,96.0,92.9,83.0,93.0,78.0,76.0,83.0,107.4
16.2,17.3,15.0,17.9,14.1,7.3,347.176,5.325,0.094,21970.0,75.62,89.84058250999999,97.79013,10.5,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,68.25,94.0,98.0,90.0,100.0,100.0,21.9
20.7,22.1,19.3,31.3,18.0,12.1,6330.169,153.808,3.469,4380.0,73.403,92.55104289,90.71775,12.6,38.8,21.8,83.5,10.9,1.9,0.2,8.0,1.5,6.6,87.0,88.3,97.0,98.0,92.0,98.0,98.0,36.7
